CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,FINGER_POSITIONS,NOTE_NAMES,FRETS
C#,11,1;3;5;b7;9;11,"x,1,1,1,1,1",C# F# B D# G#,"x, 4, 4, 4, 4, 4"
C#,11,1;3;5;b7;9;11,"4,x,3,2,1,1",C# B D# F# B,"9, x, 9, 8, 7, 7"
C#,11,1;3;5;b7;9;11,"x,x,1,1,2,1",C# F# B D#,"x, x, 11, 11, 0, 11"
C#,maj9,1;3;5;7;9,"x,2,1,4,3,x",C# F C D#,"x, 4, 3, 5, 4, x"
C#,maj9,1;3;5;7;9,"2,1,3,1,x,x",C# F C D#,"9, 8, 10, 8, x, x"
C#,maj9,1;3;5;7;9,"x,x,4,1,2,1",C# D# G# C,"x, x, 11, 8, 9, 8"
C#,m11,1;b3;5;b7;9;11,"x,1,1,1,2,1",C# F# B E G#,"x, 4, 4, 4, 5, 4"
C#,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x",C# B E F#,"9, x, 9, 9, 7, x"
C#,m11,1;b3;5;b7;9;11,"0,1,1,1,2,1",E C# F# B E G#,"0, 4, 4, 4, 5, 4"
C#,m11,1;b3;5;b7;9;11,"x,1,1,1,2,x",C# F# B E,"x, 4, 4, 4, 5, x"
C#,m11,1;b3;5;b7;9;11,"x,2,1,3,1,1",C# E B C# F#,"x, 4, 2, 4, 2, 2"
C#,m11,1;b3;5;b7;9;11,"x,2,1,3,4,1",C# E B D# F#,"x, 4, 2, 4, 4, 2"
C#,m11,1;b3;5;b7;9;11,"2,x,3,4,1,1",C# B E F# B,"9, x, 9, 9, 7, 7"
C#,m7b5,1;b3;b5;b7,"x,3,1,0,0,0",C# E G B E,"x, 4, 2, 0, 0, 0"
C#,m7b5,1;b3;b5;b7,"x,1,3,2,4,0",C# G B E E,"x, 4, 5, 4, 5, 0"
C#,m7b5,1;b3;b5;b7,"2,x,3,4,1,x",C# B E G,"9, x, 9, 9, 8, x"
C#,m7b5,1;b3;b5;b7,"x,1,3,2,4,x",C# G B E,"x, 4, 5, 4, 5, x"
C#,m7b5,1;b3;b5;b7,"x,x,1,3,3,3",C# G B E,"x, x, 11, 0, 0, 0"
C#,m7b5,1;b3;b5;b7,"x,1,3,2,4,x",C# G B E,"x, 4, 5, 4, 5, x"
C#,m,1;b3;5,"x,1,3,4,2,1",C# G# C# E G#,"x, 4, 6, 6, 5, 4"
C#,m,1;b3;5,"1,3,4,1,1,1",C# G# C# E G# C#,"9, 11, 11, 9, 9, 9"
C#,m,1;b3;5,"x,x,1,3,4,2",C# G# C# E,"x, x, 11, 1, 2, 0"
C#,m,1;b3;5,"x,1,3,4,2,x",C# G# C# E,"x, 4, 6, 6, 5, x"
C#,m,1;b3;5,"x,3,4,1,1,x",G# C# E G#,"x, 11, 11, 9, 9, x"
C#,m,1;b3;5,"x,3,1,x,x,x",C# E,"x, 4, 2, x, x, x"
C#,m,1;b3;5,"3,1,x,x,x,x",C# E,"9, 7, x, x, x, x"
C#,m,1;b3;5,"x,x,3,1,1,1",C# E G# C#,"x, x, 11, 9, 9, 9"
C#,7b5,1;3;b5;b7,"x,1,2,1,3,x",C# G B F,"x, 4, 5, 4, 6, x"
C#,7b5,1;3;b5;b7,"x,x,2,4,1,3",B F G C#,"x, x, 9, 10, 8, 9"
C#,7b5,1;3;b5;b7,"1,3,2,4,x,x",C# G B F,"9, 10, 9, 10, x, x"
C#,9(#11),1;3;5;b7;9;#11,"x,2,1,3,4,1",C# F B D# G,"x, 4, 3, 4, 4, 3"
C#,m7,1;b3;5;b7,"x,3,1,4,1,x",C# E B C#,"x, 4, 2, 4, 2, x"
C#,m7,1;b3;5;b7,"x,1,3,1,2,1",C# G# B E G#,"x, 4, 6, 4, 5, 4"
C#,m7,1;b3;5;b7,"1,3,1,1,4,1",C# G# B E B C#,"9, 11, 9, 9, 0, 9"
C#,m7,1;b3;5;b7,"1,3,1,1,1,1",C# G# B E G# C#,"9, 11, 9, 9, 9, 9"
C#,m7,1;b3;5;b7,"2,x,3,3,x,x",C# B E,"9, x, 9, 9, x, x"
C#,m7,1;b3;5;b7,"x,2,1,3,x,x",C# E B,"x, 4, 2, 4, x, x"
C#,m7,1;b3;5;b7,"2,x,3,3,3,x",C# B E G#,"9, x, 9, 9, 9, x"
C#,m7,1;b3;5;b7,"x,1,x,2,4,3",C# B E G#,"x, 4, x, 4, 5, 4"
C#,m7,1;b3;5;b7,"2,1,3,4,0,0",C# E B E B E,"9, 7, 9, 9, 0, 0"
C#,m7,1;b3;5;b7,"x,2,1,3,4,x",C# E B E,"x, 4, 2, 4, 5, x"
C#,m7,1;b3;5;b7,"x,1,3,1,2,x",C# G# B E,"x, 4, 6, 4, 5, x"
C#,m7,1;b3;5;b7,"x,1,3,4,0,0",C# G# C# B E,"x, 4, 6, 6, 0, 0"
C#,m7,1;b3;5;b7,"x,1,x,1,2,4",C# B E B,"x, 4, x, 4, 5, 7"
C#,m7,1;b3;5;b7,"x,1,x,2,3,x",C# B E,"x, 4, x, 4, 5, x"
C#,m7,1;b3;5;b7,"1,1,3,4,0,0",G# C# G# C# B E,"4, 4, 6, 6, 0, 0"
C#,m7,1;b3;5;b7,"x,3,x,x,0,0",C# B E,"x, 4, x, x, 0, 0"
C#,m7,1;b3;5;b7,"1,x,1,1,1,1",C# B E G# C#,"9, x, 9, 9, 9, 9"
C#,dim,1;b3;b5,"x,1,2,4,3,x",C# G C# E,"x, 4, 5, 6, 5, x"
C#,dim,1;b3;b5,"x,x,4,3,1,2",C# E G C#,"x, x, 11, 9, 8, 9"
C#,dim,1;b3;b5,"1,2,3,1,x,x",C# G C# E,"9, 10, 11, 9, x, x"
C#,dim,1;b3;b5,"x,2,x,0,x,1",C# G G,"x, 4, x, 0, x, 3"
C#,dim,1;b3;b5,"x,3,1,x,x,x",C# E,"x, 4, 2, x, x, x"
C#,6,1;3;5;6,"x,4,2,3,1,x",C# F A# C#,"x, 4, 3, 3, 2, x"
C#,6,1;3;5;6,"x,1,3,3,3,3",C# G# C# F A#,"x, 4, 6, 6, 6, 6"
C#,6,1;3;5;6,"1,x,3,2,4,1",C# C# F A# C#,"9, x, 11, 10, 11, 9"
C#,7(#5),1;3;#5;b7,"x,1,2,1,1,x",B F A C#,"x, 2, 3, 2, 2, x"
C#,7(#5),1;3;#5;b7,"x,1,4,1,3,2",C# A B F A,"x, 4, 7, 4, 6, 5"
C#,7(#5),1;3;#5;b7,"1,x,1,2,3,1",C# B F A C#,"9, x, 9, 10, 10, 9"
C#,7sus4,1;4;5;b7,"x,2,3,4,1,x",C# F# B C#,"x, 4, 4, 4, 2, x"
C#,7sus4,1;4;5;b7,"x,1,3,1,4,1",C# G# B F# G#,"x, 4, 6, 4, 7, 4"
C#,7sus4,1;4;5;b7,"1,3,1,4,1,1",C# G# B F# G# C#,"9, 11, 9, 11, 9, 9"
C#,7sus4,1;4;5;b7,"1,x,1,4,x,x",C# B F#,"9, x, 9, 11, x, x"
C#,maj7,1;3;5;7,"x,4,3,1,1,1",C# F G# C F,"x, 4, 3, 1, 1, 1"
C#,maj7,1;3;5;7,"x,1,3,2,4,1",C# G# C F G#,"x, 4, 6, 5, 6, 4"
C#,maj7,1;3;5;7,"x,x,4,3,2,1",C# F G# C,"x, x, 11, 10, 9, 8"
C#,5,1;5,"x,1,3,x,x,x",C# G#,"x, 4, 6, x, x, x"
C#,5,1;5,"x,1,3,4,x,x",C# G# C#,"x, 4, 6, 6, x, x"
C#,5,1;5,"1,1,3,x,x,x",G# C# G#,"4, 4, 6, x, x, x"
C#,5,1;5,"1,3,4,x,x,x",C# G# C#,"9, 11, 11, x, x, x"
C#,5,1;5,"x,x,1,3,4,x",C# G# C#,"x, x, 11, 1, 2, x"
C#,m6,1;b3;5;6,"x,3,1,2,1,x",C# E A# C#,"x, 4, 2, 3, 2, x"
C#,m6,1;b3;5;6,"x,1,x,3,2,4",C# C# E A#,"x, 4, x, 6, 5, 6"
C#,m6,1;b3;5;6,"1,x,3,1,4,1",C# C# E A# C#,"9, x, 11, 9, 11, 9"
C#,m6,1;b3;5;6,"3,1,2,x,x,x",C# E A#,"9, 7, 8, x, x, x"
C#,7(b9),1;3;5;b7;b9,"x,2,1,3,1,x",C# F B D,"x, 4, 3, 4, 3, x"
C#,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x",C# F B D,"9, 8, 9, 7, x, x"
C#,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3",C# B F G# D,"9, x, 9, 10, 9, 10"
C#,m9,1;b3;5;b7;9,"x,2,1,3,4,x",C# E B D#,"x, 4, 2, 4, 4, x"
C#,m9,1;b3;5;b7;9,"3,1,4,2,x,x",C# E B D#,"9, 7, 9, 8, x, x"
C#,m9,1;b3;5;b7;9,"1,3,1,1,1,4",C# G# B E G# D#,"9, 11, 9, 9, 9, 11"
C#,m9,1;b3;5;b7;9,"x,x,1,1,1,4",B E G# D#,"x, x, 9, 9, 9, 11"
C#,m9,1;b3;5;b7;9,"2,x,1,3,4,x",G# E B D#,"4, x, 2, 4, 4, x"
C#,m9,1;b3;5;b7;9,"1,x,1,1,1,4",C# B E G# D#,"9, x, 9, 9, 9, 11"
C#,sus4,1;4;5,"x,1,2,3,4,1",C# G# C# F# G#,"x, 4, 6, 6, 7, 4"
C#,sus4,1;4;5,"x,x,1,1,2,4",G# C# F# C#,"x, x, 6, 6, 7, 9"
C#,sus4,1;4;5,"1,1,3,4,1,1",C# F# C# F# G# C#,"9, 9, 11, 11, 9, 9"
C#,6/9,1;3;5;6;9,"x,2,1,1,3,4",C# F A# D# G#,"x, 4, 3, 3, 4, 4"
C#,6/9,1;3;5;6;9,"2,1,1,1,3,4",C# F A# D# G# C#,"9, 8, 8, 8, 9, 9"
C#,6/9,1;3;5;6;9,"x,x,2,1,3,4",C# F A# D#,"x, x, 11, 10, 11, 11"
D#,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4",D# G C# F C,"x, 6, 5, 6, 6, 8"
D#,13,1;3;5;b7;9;11;13,"3,x,4,2,1,1",D# C# F G C,"11, x, 11, 10, 8, 8"
D#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4",D# C# G C F,"11, x, 11, 0, 1, 1"
D#,7(#9),1;3;5;b7;#9,"x,x,1,0,3,4",D# G C# F,"x, x, 1, 0, 2, 1"
D#,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x",D# G C# F,"x, 6, 5, 6, 6, x"
D#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4",D# A# C# G A# F,"11, 1, 11, 0, 11, 1"
D#,9,1;3;5;b7;9,"x,2,1,3,4,x",D# G C# F,"x, 6, 5, 6, 6, x"
D#,9,1;3;5;b7;9,"x,1,3,2,4,x",G C# F A#,"x, 10, 11, 10, 11, x"
D#,9,1;3;5;b7;9,"x,x,2,1,3,4",C# F A# D#,"x, x, 11, 10, 11, 11"
D#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1",D# A C# F,"x, x, 1, 2, 2, 1"
D#,9b5,1;3;b5;b7;9,"1,2,1,3,4,1",A D# G C# F A,"5, 6, 5, 6, 6, 5"
D#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4",D# G C# F A D#,"11, 10, 11, 10, 10, 11"
D#,7,1;3;5;b7,"x,3,2,4,1,x",D# G C# D#,"x, 6, 5, 6, 4, x"
D#,7,1;3;5;b7,"x,1,3,1,4,1",D# A# C# G A#,"x, 6, 8, 6, 8, 6"
D#,7,1;3;5;b7,"1,3,1,2,4,1",D# A# C# G C# D#,"11, 1, 11, 0, 2, 11"
D#,7,1;3;5;b7,"x,2,1,3,x,x",D# G C#,"x, 6, 5, 6, x, x"
D#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x",A D# F# C,"5, 6, 4, 5, x, x"
D#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",F# C D# A,"x, 9, 10, 8, 10, x"
D#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",C F# A D#,"x, x, 10, 11, 10, 11"
D#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",D# A C F#,"x, 6, 7, 5, 7, x"
D#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",D# A C F#,"x, x, 1, 2, 1, 2"
D#,dim7,1;b3;b5;bb7,"x,2,3,1,4,1",D# A C F# A,"x, 6, 7, 5, 7, 5"
D#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",F# C D# A,"x, x, 4, 5, 4, 5"
D#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",A D# F# C,"x, x, 7, 8, 7, 8"
D#,dim7,1;b3;b5;bb7,"3,x,1,4,2,x",D# C F# A,"11, x, 10, 11, 10, x"
D#,dim7,1;b3;b5;bb7,"x,0,1,3,2,4",A F# C D# A,"x, 0, 4, 5, 4, 5"
D#,dim7,1;b3;b5;bb7,"x,0,1,3,2,4",A D# A C F#,"x, 0, 1, 2, 1, 2"
D#,aug,1;3;#5,"x,3,2,0,0,x",C D# G C,"x, 3, 1, 0, 1, x"
D#,aug,1;3;#5,"4,3,2,0,x,x",G C D# G,"3, 3, 1, 0, x, x"
D#,aug,1;3;#5,"x,x,4,2,3,1",D# G C D#,"x, x, 1, 0, 1, 11"
D#,maj,1;3;5,"x,4,3,1,2,1",D# G A# D# G,"x, 6, 5, 3, 4, 3"
D#,maj,1;3;5,"x,1,3,3,3,x",D# A# D# G,"x, 6, 8, 8, 8, x"
D#,maj,1;3;5,"1,3,4,2,1,1",D# A# D# G A# D#,"11, 1, 1, 0, 11, 11"
D#,11,1;3;5;b7;9;11,"x,x,1,1,2,1",D# G# C# F,"x, x, 1, 1, 2, 1"
D#,11,1;3;5;b7;9;11,"x,1,1,1,1,1",D# G# C# F A#,"x, 6, 6, 6, 6, 6"
D#,11,1;3;5;b7;9;11,"4,x,3,2,1,1",D# C# F G# C#,"11, x, 11, 10, 9, 9"
D#,maj9,1;3;5;7;9,"x,x,1,0,4,2",D# G D F,"x, x, 1, 0, 3, 1"
D#,maj9,1;3;5;7;9,"x,2,1,4,3,x",D# G D F,"x, 6, 5, 7, 6, x"
D#,maj9,1;3;5;7;9,"x,x,4,1,2,1",D# F A# D,"x, x, 1, 10, 11, 10"
D#,m11,1;b3;5;b7;9;11,"x,1,1,1,2,1",D# G# C# F# A#,"x, 6, 6, 6, 7, 6"
D#,m,1;b3;5,"x,x,3,2,4,1",F# A# D# F#,"x, x, 4, 3, 4, 2"
